match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1273146,2021-08-21,Kerava National Cricket Ground,Sweden,Finland,Finland,Sweden,bat,T20,2021
1273147,2021-08-21,Kerava National Cricket Ground,Sweden,Finland,Finland,Sweden,bat,T20,2021
1273148,2021-08-22,Kerava National Cricket Ground,Finland,Sweden,Sweden,Sweden,field,T20,2021
1273149,2021-08-22,Kerava National Cricket Ground,Finland,Sweden,Sweden,Sweden,field,T20,2021
1273271,2021-09-15,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Zimbabwe,Scotland,Scotland,bat,T20,2021
1273272,2021-09-17,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,Scotland,Zimbabwe,Zimbabwe,bat,T20,2021
1273273,2021-09-19,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Zimbabwe,Zimbabwe,Scotland,bat,T20,2021
1273415,2021-08-31,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,West Indies,,South Africa,bat,T20,2021
1273416,2021-09-02,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,West Indies,South Africa,West Indies,field,T20,2021
1273417,2021-09-04,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,West Indies,West Indies,South Africa,bat,T20,2021
1273712,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Oman,Oman,Oman,field,T20,2021
1273713,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Bangladesh,Scotland,Bangladesh,field,T20,2021
1273714,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,Ireland,Ireland,Netherlands,bat,T20,2021
1273715,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Sri Lanka,Sri Lanka,Sri Lanka,field,T20,2021
1273716,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Papua New Guinea,Scotland,Scotland,bat,T20,2021
1273717,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Oman,Bangladesh,Bangladesh,bat,T20,2021
1273718,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,Namibia,Namibia,Namibia,field,T20,2021
1273719,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Ireland,Sri Lanka,Ireland,field,T20,2021
1273720,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Papua New Guinea,Bangladesh,Bangladesh,bat,T20,2021
1273721,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Scotland,Oman,bat,T20,2021
1273722,2021-10-22,Sharjah Cricket Stadium,Ireland,Namibia,Namibia,Ireland,bat,T20,2021
1273723,2021-10-22,Sharjah Cricket Stadium,Netherlands,Sri Lanka,Sri Lanka,Sri Lanka,field,T20,2021
1273724,2021-10-23,"Zayed Cricket Stadium, Abu Dhabi",South Africa,Australia,Australia,Australia,field,T20,2021
1273725,2021-10-23,Dubai International Cricket Stadium,West Indies,England,England,England,field,T20,2021
1273726,2021-10-24,Sharjah Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,field,T20,2021
1273727,2021-10-24,Dubai International Cricket Stadium,India,Pakistan,Pakistan,Pakistan,field,T20,2021
1273729,2021-10-26,Dubai International Cricket Stadium,West Indies,South Africa,South Africa,South Africa,field,T20,2021
1273730,2021-10-26,Sharjah Cricket Stadium,New Zealand,Pakistan,Pakistan,Pakistan,field,T20,2021
1273731,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,England,England,Bangladesh,bat,T20,2021
1273732,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Scotland,Namibia,Namibia,Namibia,field,T20,2021
