match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1384429,2023-11-06,"Arun Jaitley Stadium, Delhi",Sri Lanka,Bangladesh,Bangladesh,Bangladesh,field,ODI,2023
1384431,2023-11-08,"Maharashtra Cricket Association Stadium, Pune",England,Netherlands,England,England,bat,ODI,2023
1384432,2023-11-09,"M Chinnaswamy Stadium, Bengaluru",Sri Lanka,New Zealand,New Zealand,New Zealand,field,ODI,2023
1384434,2023-11-11,"Maharashtra Cricket Association Stadium, Pune",Bangladesh,Australia,Australia,Australia,field,ODI,2023
1384435,2023-11-11,"Eden Gardens, Kolkata",England,Pakistan,England,England,bat,ODI,2023
1384436,2023-11-12,"M Chinnaswamy Stadium, Bengaluru",India,Netherlands,India,India,bat,ODI,2023
1384437,2023-11-15,"Wankhede Stadium, Mumbai",India,New Zealand,India,India,bat,ODI,2023
1384438,2023-11-16,"Eden Gardens, Kolkata",South Africa,Australia,Australia,South Africa,bat,ODI,2023
1384439,2023-11-19,"Narendra Modi Stadium, Ahmedabad",India,Australia,Australia,Australia,field,ODI,2023
1384542,2023-07-03,"VRA Ground, Amstelveen",Netherlands,Thailand,Netherlands,Thailand,field,ODI,2023
1384544,2023-07-07,"VRA Ground, Amstelveen",Thailand,Netherlands,Thailand,Netherlands,field,ODI,2023
1385700,2024-09-19,"Trent Bridge, Nottingham",England,Australia,Australia,England,bat,ODI,2024
1385701,2024-09-21,"Headingley, Leeds",Australia,England,Australia,England,field,ODI,2024
1385702,2024-09-24,"Riverside Ground, Chester-le-Street",Australia,England,England,England,field,ODI,2024
1385703,2024-09-27,"Lord's, London",England,Australia,England,Australia,field,ODI,2024
1385704,2024-09-29,"County Ground, Bristol",England,Australia,Australia,Australia,field,ODI,2024
1387600,2023-12-17,"The Wanderers Stadium, Johannesburg",South Africa,India,India,South Africa,bat,ODI,2023
1387601,2023-12-19,"St George's Park, Gqeberha",India,South Africa,South Africa,South Africa,field,ODI,2023
1387602,2023-12-21,"Boland Park, Paarl",India,South Africa,India,South Africa,field,ODI,2023
1388199,2023-12-12,"John Davies Oval, Queenstown",New Zealand,Pakistan,New Zealand,Pakistan,field,ODI,2023
1388200,2023-12-15,"Hagley Oval, Christchurch",Pakistan,New Zealand,New Zealand,New Zealand,field,ODI,2023
1388201,2023-12-18,"Hagley Oval, Christchurch",New Zealand,Pakistan,,New Zealand,bat,ODI,2023
1388207,2024-04-01,"Basin Reserve, Wellington",New Zealand,England,England,England,field,ODI,2024
1388208,2024-04-04,"Seddon Park, Hamilton",England,New Zealand,England,England,bat,ODI,2024
1388209,2024-04-07,"Seddon Park, Hamilton",England,New Zealand,New Zealand,England,bat,ODI,2024
1388211,2023-12-20,"Saxton Oval, Nelson",Bangladesh,New Zealand,New Zealand,New Zealand,field,ODI,2023
1388212,2023-12-23,"McLean Park, Napier",New Zealand,Bangladesh,Bangladesh,Bangladesh,field,ODI,2023
1388392,2023-08-30,Multan Cricket Stadium,Pakistan,Nepal,Pakistan,Pakistan,bat,ODI,2023
1388393,2023-08-31,Pallekele International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,bat,ODI,2023
1388394,2023-09-02,Pallekele International Cricket Stadium,India,Pakistan,,India,bat,ODI,2023
1388398,2023-09-04,Pallekele International Cricket Stadium,Nepal,India,India,India,field,ODI,2023
1388401,2023-09-06,"Gaddafi Stadium, Lahore",Bangladesh,Pakistan,Pakistan,Bangladesh,bat,ODI,2023
1388403,2023-09-09,"R Premadasa Stadium, Colombo",Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,field,ODI,2023
1388406,2023-09-10,"R Premadasa Stadium, Colombo",India,Pakistan,India,Pakistan,field,ODI,2023
1388407,2023-09-12,"R Premadasa Stadium, Colombo",India,Sri Lanka,India,India,bat,ODI,2023
1388410,2023-09-14,"R Premadasa Stadium, Colombo",Pakistan,Sri Lanka,Sri Lanka,Pakistan,bat,ODI,2023
1388412,2023-09-15,"R Premadasa Stadium, Colombo",Bangladesh,India,Bangladesh,India,field,ODI,2023
1388414,2023-09-17,"R Premadasa Stadium, Colombo",Sri Lanka,India,India,Sri Lanka,bat,ODI,2023
1389388,2023-09-22,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Australia,India,India,India,field,ODI,2023
1389389,2023-09-24,"Holkar Cricket Stadium, Indore",India,Australia,India,Australia,field,ODI,2023
1389390,2023-09-27,"Saurashtra Cricket Association Stadium, Rajkot",Australia,India,Australia,Australia,bat,ODI,2023
1392348,2023-09-24,"Senwes Park, Potchefstroom",New Zealand,South Africa,South Africa,South Africa,field,ODI,2023
1392349,2023-09-28,"City Oval, Pietermaritzburg",New Zealand,South Africa,South Africa,South Africa,field,ODI,2023
1392350,2023-10-01,"Kingsmead, Durban",South Africa,New Zealand,New Zealand,New Zealand,field,ODI,2023
1395700,2023-09-21,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,,Bangladesh,field,ODI,2023
1395701,2023-09-23,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,New Zealand,New Zealand,bat,ODI,2023
1395702,2023-09-26,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,New Zealand,Bangladesh,bat,ODI,2023
1398258,2023-12-16,"Buffalo Park, East London",Bangladesh,South Africa,Bangladesh,South Africa,field,ODI,2023
1398259,2023-12-20,"Senwes Park, Potchefstroom",Bangladesh,South Africa,South Africa,South Africa,field,ODI,2023
1398260,2023-12-23,"Willowmoore Park, Benoni",South Africa,Bangladesh,South Africa,South Africa,bat,ODI,2023
1398265,2024-04-09,"Buffalo Park, East London",South Africa,Sri Lanka,,Sri Lanka,field,ODI,2024
1398266,2024-04-13,"Diamond Oval, Kimberley",Sri Lanka,South Africa,South Africa,South Africa,field,ODI,2024
1398267,2024-04-17,"Senwes Park, Potchefstroom",South Africa,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2024
1398271,2024-05-23,"County Ground, Derby",England,Pakistan,England,Pakistan,field,ODI,2024
1398272,2024-05-26,"The Cooper Associates County Ground, Taunton",Pakistan,England,,Pakistan,bat,ODI,2024
1398273,2024-05-29,"County Ground, Chelmsford",England,Pakistan,England,England,bat,ODI,2024
1398274,2024-06-26,"Riverside Ground, Chester-le-Street",New Zealand,England,England,New Zealand,bat,ODI,2024
1398275,2024-06-30,"County Ground, New Road, Worcester",New Zealand,England,England,England,field,ODI,2024
1398276,2024-07-03,"County Ground, Bristol",New Zealand,England,England,England,field,ODI,2024
1403683,2023-10-17,"Desert Springs Cricket Ground, Almeria",Scotland,Ireland,Scotland,Ireland,field,ODI,2023
1403684,2023-10-19,"Desert Springs Cricket Ground, Almeria",Ireland,Scotland,Ireland,Ireland,bat,ODI,2023
