match_id,date,venue,team1,team2,winner,toss_winner,toss_decision,format,year
1448394,2025-05-30,"County Ground, Derby",England,West Indies,England,England,bat,ODI,2025
1448395,2025-06-04,"Grace Road, Leicester",England,West Indies,England,England,bat,ODI,2025
1448396,2025-06-07,"The Cooper Associates County Ground, Taunton",West Indies,England,England,England,field,ODI,2025
1448402,2025-07-16,"The Rose Bowl, Southampton",England,India,India,England,bat,ODI,2025
1448403,2025-07-19,"Lord's, London",India,England,England,England,field,ODI,2025
1448404,2025-07-22,"Riverside Ground, Chester-le-Street",India,England,India,India,bat,ODI,2025
1450690,2024-09-16,"United Cricket Club Ground, Windhoek",Namibia,United States of America,United States of America,United States of America,field,ODI,2024
1450691,2024-09-18,"United Cricket Club Ground, Windhoek",United Arab Emirates,United States of America,United States of America,United States of America,field,ODI,2024
1450692,2024-09-20,"United Cricket Club Ground, Windhoek",Namibia,United Arab Emirates,United Arab Emirates,United Arab Emirates,field,ODI,2024
1450693,2024-09-22,"United Cricket Club Ground, Windhoek",Namibia,United States of America,United States of America,Namibia,bat,ODI,2024
1450694,2024-09-24,"United Cricket Club Ground, Windhoek",United States of America,United Arab Emirates,United States of America,United Arab Emirates,field,ODI,2024
1450695,2024-09-26,"Wanderers Cricket Ground, Windhoek",United Arab Emirates,Namibia,Namibia,Namibia,field,ODI,2024
1450696,2024-09-16,"Maple Leaf North-West Ground, King City",Canada,Nepal,Canada,Nepal,field,ODI,2024
1450697,2024-09-18,"Maple Leaf North-West Ground, King City",Nepal,Oman,Oman,Oman,field,ODI,2024
1450698,2024-09-20,"Maple Leaf North-West Ground, King City",Canada,Oman,Canada,Oman,field,ODI,2024
1450699,2024-09-22,"Maple Leaf North-West Ground, King City",Nepal,Canada,Canada,Nepal,bat,ODI,2024
1450701,2024-09-26,"Maple Leaf North-West Ground, King City",Oman,Canada,Canada,Canada,field,ODI,2024
1450702,2024-10-25,"Grand Prairie Stadium, Dallas",United States of America,Scotland,Scotland,Scotland,field,ODI,2024
1450704,2024-10-29,"Grand Prairie Stadium, Dallas",Scotland,Nepal,Nepal,Nepal,field,ODI,2024
1450705,2024-10-31,"Grand Prairie Stadium, Dallas",Scotland,United States of America,Scotland,United States of America,field,ODI,2024
1450706,2024-11-02,"Grand Prairie Stadium, Dallas",United States of America,Nepal,United States of America,Nepal,field,ODI,2024
1450707,2024-11-04,"Grand Prairie Stadium, Dallas",Nepal,Scotland,,Scotland,field,ODI,2024
1451817,2024-10-20,Pallekele International Cricket Stadium,West Indies,Sri Lanka,Sri Lanka,West Indies,bat,ODI,2024
1451818,2024-10-23,Pallekele International Cricket Stadium,West Indies,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2024
1451819,2024-10-26,Pallekele International Cricket Stadium,Sri Lanka,West Indies,West Indies,West Indies,field,ODI,2024
1454391,2024-10-24,"Narendra Modi Stadium, Ahmedabad",India,New Zealand,India,India,bat,ODI,2024
1454392,2024-10-27,"Narendra Modi Stadium, Ahmedabad",New Zealand,India,New Zealand,New Zealand,bat,ODI,2024
1454393,2024-10-29,"Narendra Modi Stadium, Ahmedabad",New Zealand,India,India,New Zealand,bat,ODI,2024
1455367,2024-10-17,Harare Sports Club,United States of America,Zimbabwe,Zimbabwe,Zimbabwe,field,ODI,2024
1455368,2024-10-20,Harare Sports Club,United States of America,Zimbabwe,Zimbabwe,Zimbabwe,field,ODI,2024
1455369,2024-10-23,Harare Sports Club,Zimbabwe,United States of America,United States of America,United States of America,field,ODI,2024
1455370,2024-10-26,Harare Sports Club,Zimbabwe,United States of America,Zimbabwe,United States of America,field,ODI,2024
1455371,2024-10-28,Harare Sports Club,Zimbabwe,United States of America,United States of America,United States of America,field,ODI,2024
1456443,2024-11-13,Rangiri Dambulla International Stadium,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,bat,ODI,2024
1456444,2024-11-17,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,Sri Lanka,Sri Lanka,field,ODI,2024
1456445,2024-11-19,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,,New Zealand,bat,ODI,2024
1457464,2024-11-01,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Oman,Oman,Oman,field,ODI,2024
1457465,2024-11-03,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Netherlands,United Arab Emirates,Netherlands,field,ODI,2024
1457466,2024-11-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Oman,Oman,Oman,field,ODI,2024
1457467,2024-11-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Oman,Oman,Oman,field,ODI,2024
1457468,2024-11-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,United Arab Emirates,Netherlands,United Arab Emirates,field,ODI,2024
1457469,2024-11-11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Oman,Netherlands,field,ODI,2024
1458411,2024-11-27,"Shere Bangla National Stadium, Mirpur",Bangladesh,Ireland,Bangladesh,Bangladesh,bat,ODI,2024
1458412,2024-11-30,"Shere Bangla National Stadium, Mirpur",Ireland,Bangladesh,Bangladesh,Ireland,bat,ODI,2024
1458413,2024-12-02,"Shere Bangla National Stadium, Mirpur",Ireland,Bangladesh,Bangladesh,Ireland,bat,ODI,2024
1459894,2024-12-22,"Kotambi Stadium, Vadodara",India,West Indies,India,West Indies,field,ODI,2024
1459895,2024-12-24,"Kotambi Stadium, Vadodara",India,West Indies,India,India,bat,ODI,2024
1459896,2024-12-27,"Kotambi Stadium, Vadodara",West Indies,India,India,West Indies,bat,ODI,2024
1459897,2025-01-10,"Saurashtra Cricket Association Stadium, Rajkot",Ireland,India,India,Ireland,bat,ODI,2025
1459898,2025-01-12,"Saurashtra Cricket Association Stadium, Rajkot",India,Ireland,India,India,bat,ODI,2025
1459899,2025-01-15,"Saurashtra Cricket Association Stadium, Rajkot",India,Ireland,India,India,bat,ODI,2025
1459908,2025-02-12,"R Premadasa Stadium, Colombo",Sri Lanka,Australia,Sri Lanka,Sri Lanka,bat,ODI,2025
1466414,2025-02-19,"National Stadium, Karachi",New Zealand,Pakistan,New Zealand,Pakistan,field,ODI,2025
1466415,2025-02-20,Dubai International Cricket Stadium,Bangladesh,India,India,Bangladesh,bat,ODI,2025
1466417,2025-02-22,"Gaddafi Stadium, Lahore",England,Australia,Australia,Australia,field,ODI,2025
1466418,2025-02-23,Dubai International Cricket Stadium,Pakistan,India,India,Pakistan,bat,ODI,2025
1466419,2025-02-24,Rawalpindi Cricket Stadium,Bangladesh,New Zealand,New Zealand,New Zealand,field,ODI,2025
1466424,2025-03-01,"National Stadium, Karachi",England,South Africa,South Africa,England,bat,ODI,2025
1466425,2025-03-02,Dubai International Cricket Stadium,India,New Zealand,India,New Zealand,field,ODI,2025
1466426,2025-03-04,Dubai International Cricket Stadium,Australia,India,India,Australia,bat,ODI,2025
